X,Y
0.0,0
0.20833333333333334,0
0.4166666666666667,0
0.625,0
0.8333333333333334,0
1.0416666666666667,0
1.25,0
1.4583333333333333,0
1.6666666666666667,0
1.875,0
2.0833333333333335,0
2.2916666666666665,0
2.5,0
2.7083333333333335,0
2.9166666666666665,0
3.125,0
3.3333333333333335,0
3.5416666666666665,0
3.75,0
3.9583333333333335,0
4.166666666666667,0
4.375,0
4.583333333333333,0
4.791666666666667,0
5.0,0
5,0.20833333333333334
5,0.4166666666666667
5,0.625
5,0.8333333333333334
5,1.0416666666666667
5,1.25
5,1.4583333333333333
5,1.6666666666666667
5,1.875
5,2.0833333333333335
5,2.2916666666666665
5,2.5
5,2.7083333333333335
5,2.9166666666666665
5,3.125
5,3.3333333333333335
5,3.5416666666666665
5,3.75
5,3.9583333333333335
5,4.166666666666667
5,4.375
5,4.583333333333333
5,4.791666666666667
5,5.0
4.791666666666667,5
4.583333333333333,5
4.375,5
4.166666666666667,5
3.958333333333333,5
3.75,5
3.541666666666667,5
3.333333333333333,5
3.125,5
2.9166666666666665,5
2.7083333333333335,5
2.5,5
2.2916666666666665,5
2.0833333333333335,5
1.875,5
1.6666666666666665,5
1.4583333333333335,5
1.25,5
1.0416666666666665,5
0.833333333333333,5
0.625,5
0.41666666666666696,5
0.20833333333333304,5
0.0,5
0,4.791666666666667
0,4.583333333333333
0,4.375
0,4.166666666666667
0,3.958333333333333
0,3.75
0,3.541666666666667
0,3.333333333333333
0,3.125
0,2.9166666666666665
0,2.7083333333333335
0,2.5
0,2.2916666666666665
0,2.0833333333333335
0,1.875
0,1.6666666666666665
0,1.4583333333333335
0,1.25
0,1.0416666666666665
0,0.833333333333333
0,0.625
0,0.41666666666666696
0,0.20833333333333304
